"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Helsinki Kumpula","2024","1","13","05:00","-15.5","-15.3","-15.9"
"Helsinki Kumpula","2024","1","13","06:00","-15.9","-15.6","-16.3"
"Helsinki Kumpula","2024","1","13","07:00","-16.2","-15.8","-16.7"
"Helsinki Kumpula","2024","1","13","08:00","-15","-9.8","-16.4"
"Helsinki Kumpula","2024","1","13","09:00","-7.6","-6.7","-9.8"
"Helsinki Kumpula","2024","1","13","10:00","-6.9","-6.6","-7.2"
"Helsinki Kumpula","2024","1","13","11:00","-6.8","-6.7","-6.9"
"Helsinki Kumpula","2024","1","13","12:00","-6.7","-6.6","-6.8"
"Helsinki Kumpula","2024","1","13","13:00","-6.9","-6.7","-7.1"
"Helsinki Kumpula","2024","1","13","14:00","-6.8","-6.6","-7.1"
"Helsinki Kumpula","2024","1","13","15:00","-6.3","-6","-6.5"
"Helsinki Kumpula","2024","1","13","16:00","-6","-5.9","-6"
"Helsinki Kumpula","2024","1","13","17:00","-5.9","-5.9","-5.9"
"Helsinki Kumpula","2024","1","13","18:00","-6","-5.9","-6"
"Helsinki Kumpula","2024","1","13","19:00","-6","-5.9","-6.2"
"Helsinki Kumpula","2024","1","13","20:00","-6.3","-6.1","-6.5"
"Helsinki Kumpula","2024","1","13","21:00","-6.4","-6.3","-6.4"
"Helsinki Kumpula","2024","1","13","22:00","-6.2","-6","-6.3"
"Helsinki Kumpula","2024","1","13","23:00","-6.2","-6.2","-6.3"
"Helsinki Kumpula","2024","1","14","00:00","-6.3","-6.2","-6.5"
"Helsinki Kumpula","2024","1","14","01:00","-6.6","-6.5","-6.6"
"Helsinki Kumpula","2024","1","14","02:00","-6.6","-6.5","-6.8"
"Helsinki Kumpula","2024","1","14","03:00","-6.9","-6.8","-6.9"
"Helsinki Kumpula","2024","1","14","04:00","-6.7","-6.6","-6.9"
"Helsinki Kumpula","2024","1","14","05:00","-6.6","-6.6","-6.7"
"Helsinki Kumpula","2024","1","14","06:00","-6.8","-6.7","-6.8"
"Helsinki Kumpula","2024","1","14","07:00","-6.7","-6.6","-6.8"
"Helsinki Kumpula","2024","1","14","08:00","-6.6","-6.6","-6.7"
"Helsinki Kumpula","2024","1","14","09:00","-6.6","-6.5","-6.6"
"Helsinki Kumpula","2024","1","14","10:00","-6.5","-6.4","-6.6"
"Helsinki Kumpula","2024","1","14","11:00","-6.4","-6.3","-6.5"
"Helsinki Kumpula","2024","1","14","12:00","-6.2","-6.2","-6.3"
"Helsinki Kumpula","2024","1","14","13:00","-6.1","-6","-6.2"
"Helsinki Kumpula","2024","1","14","14:00","-5.9","-5.8","-6"
"Helsinki Kumpula","2024","1","14","15:00","-5.9","-5.9","-6"
"Helsinki Kumpula","2024","1","14","16:00","-5.9","-5.9","-5.9"
"Helsinki Kumpula","2024","1","14","17:00","-5.9","-5.8","-5.9"
"Helsinki Kumpula","2024","1","14","18:00","-5.7","-5.6","-5.9"
"Helsinki Kumpula","2024","1","14","19:00","-5.6","-5.5","-5.7"
"Helsinki Kumpula","2024","1","14","20:00","-5.5","-5.3","-5.8"
"Helsinki Kumpula","2024","1","14","21:00","-5.8","-5.7","-5.8"
"Helsinki Kumpula","2024","1","14","22:00","-5.9","-5.8","-6.1"
"Helsinki Kumpula","2024","1","14","23:00","-6.3","-6.1","-6.6"
"Helsinki Kumpula","2024","1","15","00:00","-6.9","-6.5","-7.3"
"Helsinki Kumpula","2024","1","15","01:00","-6.5","-6.3","-6.8"
"Helsinki Kumpula","2024","1","15","02:00","-6.4","-6.2","-6.8"
"Helsinki Kumpula","2024","1","15","03:00","-6.3","-6.2","-6.4"
"Helsinki Kumpula","2024","1","15","04:00","-6.4","-6.4","-6.5"
"Helsinki Kumpula","2024","1","15","05:00","-6.5","-6.4","-6.6"
"Helsinki Kumpula","2024","1","15","06:00","-6.8","-6.6","-7"
"Helsinki Kumpula","2024","1","15","07:00","-7","-7","-7.1"
"Helsinki Kumpula","2024","1","15","08:00","-7.1","-7.1","-7.3"
"Helsinki Kumpula","2024","1","15","09:00","-7.3","-7.2","-7.5"
